Score,FIRST DOWNS,THIRD DOWN EFFICIENCY,FOURTH DOWN EFFICIENCY,TOTAL OFFENSE,NET YARDS PASSING,completionAttemptsNumber,completionAttemptsYards,NetYards,SackedNumber,SackedYards,intercepted,NET YARDS RUSHING,Rushing Attempts,Average gain per rush,PUNTS: Number,PUNTS: Yards,Average,TOTAL RETURN YARDS,PENALTIES: Number,PENALTIES: Yards,FUMBLES: Number,FUMBLES: Lost,SACKS: Number,SACKS: Yards,INTERCEPTIONS: Number,INTERCEPTIONS: Yards,TIME OF POSSESSION,Target Data
2.0,1.0,-22.0,-17.0,-21.0,-17.0,12.0,14.0,-3.8,-2.0,-14.0,-1.0,-4.0,-8.0,1.2,6.0,181.0,-22.1,-55.0,4.0,45.0,-1.0,-1.0,0.0,3.0,2.0,2.0,680.0,0
-25.0,-4.0,-19.0,-75.0,-160.0,-154.0,-19.0,-18.0,-1.5,1.0,2.0,1.0,-6.0,21.0,-2.7,-2.0,-37.0,11.3,-113.0,4.0,52.0,0.0,-2.0,-2.0,0.0,1.0,0.0,230.0,1
-12.0,-5.0,-20.0,-50.0,-109.0,-230.0,-20.0,-30.0,-0.5,3.0,26.0,-1.0,121.0,26.0,2.4,4.0,139.0,-3.1,-5.0,1.0,2.0,1.0,1.0,-1.0,-9.0,0.0,0.0,318.0,1
-13.0,-5.0,-5.0,-50.0,25.0,-26.0,0.0,6.0,-2.5,3.0,13.0,0.0,51.0,4.0,1.1,2.0,76.0,-2.8,46.0,-2.0,-38.0,-1.0,-1.0,-2.0,-14.0,-1.0,-58.0,557.0,0
37.0,-3.0,18.0,34.0,-5.0,-53.0,-7.0,-15.0,1.3,-1.0,-2.0,-3.0,48.0,3.0,0.9,0.0,-85.0,-14.2,209.0,-4.0,-17.0,0.0,0.0,2.0,9.0,1.0,42.0,-754.0,1
0.0,-2.0,7.0,-17.0,-100.0,31.0,8.0,9.0,-1.3,-2.0,-8.0,-2.0,-131.0,-7.0,-2.2,1.0,11.0,-8.8,-16.0,-1.0,14.0,1.0,1.0,2.0,10.0,-1.0,-69.0,164.0,0
18.0,5.0,-4.0,-17.0,113.0,-50.0,-5.0,-20.0,1.5,-3.0,-19.0,-1.0,163.0,18.0,3.4,-4.0,-160.0,0.2,-7.0,-2.0,-24.0,0.0,0.0,-1.0,-2.0,1.0,2.0,594.0,0
0.0,11.0,-6.0,100.0,65.0,103.0,5.0,6.0,2.9,1.0,6.0,2.0,-38.0,6.0,-1.3,2.0,9.0,-11.5,6.0,3.0,12.0,1.0,1.0,5.0,26.0,-2.0,-31.0,347.0,1
2.0,-2.0,-1.0,100.0,-64.0,-98.0,-9.0,-17.0,0.2,-5.0,-26.0,2.0,34.0,-1.0,1.3,-3.0,-95.0,6.7,63.0,3.0,-24.0,0.0,1.0,-1.0,-6.0,-2.0,-14.0,-602.0,1
-15.0,-13.0,-26.0,0.0,-195.0,105.0,4.0,7.0,1.2,2.0,27.0,0.0,-300.0,-31.0,-4.8,2.0,62.0,-10.5,-67.0,-4.0,-3.0,-4.0,-2.0,0.0,-9.0,0.0,0.0,-5.0,0
-7.0,1.0,14.0,0.0,-6.0,85.0,7.0,1.0,3.9,3.0,20.0,1.0,-91.0,7.0,-2.5,-2.0,-99.0,-4.8,59.0,7.0,60.0,1.0,1.0,-4.0,-34.0,0.0,0.0,771.0,1
56.0,17.0,9.0,50.0,329.0,280.0,18.0,15.0,3.9,0.0,1.0,-1.0,49.0,2.0,1.4,-7.0,-222.0,14.2,107.0,-3.0,11.0,1.0,-1.0,0.0,-4.0,0.0,8.0,-62.0,0
3.0,2.0,-1.0,0.0,71.0,54.0,1.0,-12.0,4.3,4.0,39.0,0.0,17.0,18.0,0.1,2.0,99.0,3.0,-52.0,-4.0,-38.0,-2.0,-2.0,0.0,5.0,0.0,-69.0,275.0,0
2.6667,4.3333,33.6667,22.3333,170.0,46.6667,-0.3333,-3.6667,2.5,0.6667,4.0,0.0,123.3333,11.6667,1.6,-2.0,-74.3333,-4.6667,67.3333,-4.0,-32.6667,2.3333,1.3333,1.3333,1.6667,-2.3333,-8.3333,71.3333,1
35.0,14.0,34.0,-50.0,238.0,224.0,9.0,8.0,6.3,2.0,11.0,-1.0,14.0,9.0,-0.4,-3.0,-118.0,0.5,6.0,6.0,64.0,-1.0,-1.0,2.0,22.0,1.0,30.0,445.0,0
38.0,7.0,-17.0,67.0,126.0,2.0,3.0,6.0,-1.1,0.0,0.0,-1.0,124.0,8.0,2.5,-1.0,51.0,23.2,-97.0,3.0,69.0,-1.0,0.0,1.0,9.0,-1.0,-97.0,500.0,0
-4.0,-0.3333,6.0,70.0,33.0,40.0,3.3333,13.0,-1.2,-3.3333,-33.0,2.3333,-7.0,4.6667,-0.0333,-5.3333,-183.3333,2.5333,14.3333,5.6667,50.3333,1.3333,0.0,2.3333,24.0,0.0,0.0,744.0,1
